time,pressure
2022-08-01 00:00:00,0.1620847457627119
2022-08-01 01:00:00,0.11752542372881357
2022-08-01 02:00:00,0.09973333333333334
2022-08-01 03:00:00,
2022-08-01 04:00:00,
2022-08-01 05:00:00,
2022-08-01 06:00:00,1.3024
2022-08-01 07:00:00,1.272522727272727
2022-08-01 08:00:00,1.1921186440677962
2022-08-01 09:00:00,1.19255
2022-08-01 10:00:00,1.152542372881356
2022-08-01 11:00:00,0.39345762711864407
2022-08-01 12:00:00,0.6512203389830509
2022-08-01 13:00:00,1.2823620689655173
2022-08-01 14:00:00,1.3168965517241378
2022-08-01 15:00:00,1.1170338983050845
2022-08-01 16:00:00,0.811084745762712
2022-08-01 17:00:00,0.5018305084745763
2022-08-01 18:00:00,1.1692586206896554
2022-08-01 19:00:00,1.3289491525423727
2022-08-01 20:00:00,1.315338983050848
2022-08-01 21:00:00,1.3209661016949152
2022-08-01 22:00:00,1.3351355932203393
2022-08-01 23:00:00,0.6249137931034482
2022-08-02 00:00:00,0.1569152542372881
2022-08-02 01:00:00,0.10415254237288134
2022-08-02 02:00:00,0.08583783783783785
2022-08-02 03:00:00,
2022-08-02 04:00:00,
2022-08-02 05:00:00,
2022-08-02 06:00:00,0.09683333333333333
2022-08-02 07:00:00,0.19071186440677967
2022-08-02 08:00:00,0.9768983050847457
2022-08-02 09:00:00,1.164915254237288
2022-08-02 10:00:00,1.2623220338983052
2022-08-02 11:00:00,1.3380508474576271
2022-08-02 12:00:00,1.3335762711864407
2022-08-02 13:00:00,1.3163728813559321
2022-08-02 14:00:00,1.2740847457627118
2022-08-02 15:00:00,1.3366610169491526
2022-08-02 16:00:00,1.3505762711864409
2022-08-02 17:00:00,1.3459152542372879
2022-08-02 18:00:00,1.3288813559322032
2022-08-02 19:00:00,1.326779661016949
2022-08-02 20:00:00,1.3061525423728815
2022-08-02 21:00:00,1.2792881355932202
2022-08-02 22:00:00,1.2524745762711866
2022-08-02 23:00:00,1.0961016949152542
2022-08-03 00:00:00,1.067864406779661
2022-08-03 01:00:00,1.081101694915254
2022-08-03 02:00:00,1.084690476190476
2022-08-03 03:00:00,
2022-08-03 04:00:00,
2022-08-03 05:00:00,
2022-08-03 06:00:00,1.319
2022-08-03 07:00:00,1.2488983050847455
2022-08-03 08:00:00,1.1472203389830506
2022-08-03 09:00:00,1.2032833333333335
2022-08-03 10:00:00,1.2748813559322034
2022-08-03 11:00:00,1.2975593220338986
2022-08-03 12:00:00,1.2728474576271187
2022-08-03 13:00:00,1.2701694915254238
2022-08-03 14:00:00,1.2837288135593221
2022-08-03 15:00:00,1.2990677966101694
2022-08-03 16:00:00,1.2956101694915252
2022-08-03 17:00:00,1.3324237288135594
2022-08-03 18:00:00,1.3244745762711863
2022-08-03 19:00:00,1.3268983050847458
2022-08-03 20:00:00,1.3073050847457628
2022-08-03 21:00:00,1.3078620689655172
2022-08-03 22:00:00,1.2878474576271186
