hour,Averagewaterconsumption
0:00 - 1:00,0.5262338418577308
1:00 - 2:00,0.4977169182833627
2:00 - 3:00,0.06945511463844796
3:00 - 4:00,0.017151077054065562
4:00 - 5:00,7.096569303980852
5:00 - 6:00,3.7274512120659242
6:00 - 7:00,5.989377035273368
7:00 - 8:00,45.52927793180482
8:00 - 9:00,64.58783985404123
9:00 - 10:00,84.13115749811037
10:00 - 11:00,50.74274094934015
11:00 - 12:00,36.18912324758256
12:00 - 13:00,54.07897291446209
13:00 - 14:00,53.71282016420362
14:00 - 15:00,25.95229979991486
15:00 - 16:00,8.80296977376391
16:00 - 17:00,23.488074468162736
17:00 - 18:00,21.961824942528736
18:00 - 19:00,23.464726244562026
19:00 - 20:00,35.76465470899471
20:00 - 21:00,42.55419285067606
21:00 - 22:00,29.470071235176057
22:00 - 23:00,7.894675194915768
23:00 - 24:00,7.51360350726753
